song,artist,album,album_type,release_date,url,id
Corazón Dividido,Emanz Reign,Corazón Dividido,single,2024-07-23,https://open.spotify.com/track/1TYWnAypDz7LCXcJ8pAAmG,1TYWnAypDz7LCXcJ8pAAmG
Eterno,Matulo,Eterno,single,2024-07-22,https://open.spotify.com/track/79zTwLzY6MM3PRhZlTaoJA,79zTwLzY6MM3PRhZlTaoJA
El Amor De Mi Madre,Andy Santiago El Relevo,El Amor De Mi Madre,single,2024-07-21,https://open.spotify.com/track/5P7qJPps1FABe7BTDMEdXy,5P7qJPps1FABe7BTDMEdXy
Contrato - Bachata Version,Dj Husky,Contrato (Bachata Version),single,2024-07-20,https://open.spotify.com/track/0jpEcZJkn35QjPdaJgyHZ4,0jpEcZJkn35QjPdaJgyHZ4
Mentiroso - Bachata Version,Dj Dave Aguilar,Mentiroso (Bachata Version),single,2024-07-19,https://open.spotify.com/track/5h2OteUSjsEhEWxGh0zVDh,5h2OteUSjsEhEWxGh0zVDh
Debajo De La Matita,Bienvenido Rodríguez,Debajo De La Matita,single,2024-07-19,https://open.spotify.com/track/5jMU3UapjO6G5JkvOPNPKh,5jMU3UapjO6G5JkvOPNPKh
Suave Intenso,Daniel Santacruz,Suave Intenso,single,2024-07-19,https://open.spotify.com/track/4jlugVHheyh73EO0xlTsWL,4jlugVHheyh73EO0xlTsWL
Cuando Quieras,Vinny Rivera,Cuando Quieras,single,2024-07-19,https://open.spotify.com/track/1ikJeH4KeeadngSMndpJP3,1ikJeH4KeeadngSMndpJP3
Cuando Quieras - Extended Mix,Vinny Rivera,Cuando Quieras,single,2024-07-19,https://open.spotify.com/track/0MJiasvcBHMIaxHLCv3aU4,0MJiasvcBHMIaxHLCv3aU4
Cuando Quieras - Sped up,Vinny Rivera,Cuando Quieras,single,2024-07-19,https://open.spotify.com/track/1CZtmZBqhAQlrXfEzvSWJk,1CZtmZBqhAQlrXfEzvSWJk
Cuando Quieras - Slowed down,Vinny Rivera,Cuando Quieras,single,2024-07-19,https://open.spotify.com/track/7z9B4z2n4Yxxz41RR8KLzf,7z9B4z2n4Yxxz41RR8KLzf
Me Busque Otra - Bachata,DJ Ramon,Me Busque Otra (Bachata),single,2024-07-19,https://open.spotify.com/track/4fmlXRM7dFRHfgxtwrprv2,4fmlXRM7dFRHfgxtwrprv2
Belik Bellak,Domenica,Belik Bellak,single,2024-07-19,https://open.spotify.com/track/3yy00SXfaBb6pDgbMcd7qW,3yy00SXfaBb6pDgbMcd7qW
I Need You - Freestyle,Felix Andino,"Dance Conmigo, Vol. 1",single,2024-07-19,https://open.spotify.com/track/5VL1QwpT2czSX09WmWtc4p,5VL1QwpT2czSX09WmWtc4p
Reach Out - EDM,Felix Andino,"Dance Conmigo, Vol. 1",single,2024-07-19,https://open.spotify.com/track/6ctAa9yXbrk3tpu9Jw60nW,6ctAa9yXbrk3tpu9Jw60nW
Si Una Vez - EDM,Felix Andino,"Dance Conmigo, Vol. 1",single,2024-07-19,https://open.spotify.com/track/0YMaISq7g7fDWF5Os5xfjP,0YMaISq7g7fDWF5Os5xfjP
Calling - Freestyle,Felix Andino,"Dance Conmigo, Vol. 1",single,2024-07-19,https://open.spotify.com/track/5QIbulhXlalK93LHAkBhrL,5QIbulhXlalK93LHAkBhrL
Everybody - EDM,Felix Andino,"Dance Conmigo, Vol. 1",single,2024-07-19,https://open.spotify.com/track/2u3Xo62nAjFlnKHm0PWtYG,2u3Xo62nAjFlnKHm0PWtYG
Inmune,J-Style,Inmune,single,2024-07-19,https://open.spotify.com/track/2ddxMYH347o9aFZLl0LaLP,2ddxMYH347o9aFZLl0LaLP
No Me Valió,Zacarias Ferreira,No Me Valió,single,2024-07-19,https://open.spotify.com/track/5hi6YEJOjzigd5wEJjaavl,5hi6YEJOjzigd5wEJjaavl
Tienes Que Saber,Abraham Mateo,Tienes Que Saber,single,2024-07-18,https://open.spotify.com/track/2Y9xXXMWqETUfonJjXP25k,2Y9xXXMWqETUfonJjXP25k
JUDAS,Edwin Jay,JUDAS,single,2024-07-18,https://open.spotify.com/track/3RKNrINmO1iNqDYYmaT6NM,3RKNrINmO1iNqDYYmaT6NM
Olvídala,Luis Vargas,Olvídala,single,2024-07-15,https://open.spotify.com/track/6sdW54i4VLO7TFI9IwFG44,6sdW54i4VLO7TFI9IwFG44
Me Gusta Todo de Ti,Andy Santiago El Relevo,Me Gusta Todo de Ti,single,2024-07-13,https://open.spotify.com/track/4CS7R7kxAGKOSJeBtdsHps,4CS7R7kxAGKOSJeBtdsHps
Intro,Mar Lucas,LA INOCENTE,album,2024-07-19,https://open.spotify.com/track/46jgNY7qVhBacHR4CywDfC,46jgNY7qVhBacHR4CywDfC
Puerta del Sol,Mar Lucas,LA INOCENTE,album,2024-07-19,https://open.spotify.com/track/1EBRd2vRZLeLIO0GaRjeZl,1EBRd2vRZLeLIO0GaRjeZl
Enamorado de ti,Mar Lucas,LA INOCENTE,album,2024-07-19,https://open.spotify.com/track/74U7IDDfTTNFAko7mMujG8,74U7IDDfTTNFAko7mMujG8
Mentiiira,Mar Lucas,LA INOCENTE,album,2024-07-19,https://open.spotify.com/track/1CtFUAGLsk0Ufbz8x3C4OJ,1CtFUAGLsk0Ufbz8x3C4OJ
No te tardes,Mar Lucas,LA INOCENTE,album,2024-07-19,https://open.spotify.com/track/6joaA3jLfz4fqlLKuBVpu3,6joaA3jLfz4fqlLKuBVpu3
Lo Dejo Todo,Mar Lucas,LA INOCENTE,album,2024-07-19,https://open.spotify.com/track/3qTn8QtoD9SPhYKLSogWgf,3qTn8QtoD9SPhYKLSogWgf
Aprovéchame,Mar Lucas,LA INOCENTE,album,2024-07-19,https://open.spotify.com/track/0UwCnPqrjqRFPHmiINDOJe,0UwCnPqrjqRFPHmiINDOJe
Sin frenos,Mar Lucas,LA INOCENTE,album,2024-07-19,https://open.spotify.com/track/2UaGXBVS2WuxAl4YLcZrTq,2UaGXBVS2WuxAl4YLcZrTq
Soltera Pero No Sola,Mar Lucas,LA INOCENTE,album,2024-07-19,https://open.spotify.com/track/3sB3BeFikwXrPAuw4eNoP8,3sB3BeFikwXrPAuw4eNoP8
La Inocente,Mar Lucas,LA INOCENTE,album,2024-07-19,https://open.spotify.com/track/4AThZcw0x8rJowjZ7ZkM75,4AThZcw0x8rJowjZ7ZkM75
32,Mar Lucas,LA INOCENTE,album,2024-07-19,https://open.spotify.com/track/0avMf57Hs1XFFsnkiCdJWC,0avMf57Hs1XFFsnkiCdJWC
