song,artist,album,album_type,release_date,url,id
Me Gusta Todo de Ti,Andy Santiago El Relevo,Me Gusta Todo de Ti,single,2024-07-13,https://open.spotify.com/track/4CS7R7kxAGKOSJeBtdsHps,4CS7R7kxAGKOSJeBtdsHps
Algo,Mr. Don,Algo,single,2024-07-12,https://open.spotify.com/track/0tmWlRsH7q0JfFrWxfQvqw,0tmWlRsH7q0JfFrWxfQvqw
Tengo Un Plan - Bachata Version,DJ Bear,Tengo Un Plan (Bachata Version),single,2024-07-12,https://open.spotify.com/track/79bQMSajORXPGNd3ZRkN2x,79bQMSajORXPGNd3ZRkN2x
Mojao,Alexandros Sarafis,Mojao,single,2024-07-12,https://open.spotify.com/track/4KMitzFNtSjxHKnaoH1dut,4KMitzFNtSjxHKnaoH1dut
Dónde estabas - Remix,Omar Romero,Dónde Estabas (Remix),single,2024-07-12,https://open.spotify.com/track/2T5GdpbPk84oGCyQWg8uDe,2T5GdpbPk84oGCyQWg8uDe
La Musa y El Romántico,Chris Paradise,La Musa y El Romántico,single,2024-07-11,https://open.spotify.com/track/6hCgrXcdGixUQymHxbc3F4,6hCgrXcdGixUQymHxbc3F4
Bachata,Cosimo,Bachata,single,2024-07-11,https://open.spotify.com/track/6QnqMi5L62JT0Ff6uh2JQw,6QnqMi5L62JT0Ff6uh2JQw
Me Gusta Cuando Tú,World Latin Star,Me Gusta Cuando Tú,single,2024-07-11,https://open.spotify.com/track/0zeTBbGWXkkVDtZxBwq1VG,0zeTBbGWXkkVDtZxBwq1VG
Ponte Pa Mi,Vinny Rivera,Ponte Pa Mi,single,2024-07-10,https://open.spotify.com/track/3zjBnZNIXNriHVNBKeEOsz,3zjBnZNIXNriHVNBKeEOsz
Si Antes Te Hubiera Conocido - Bachata Version,Dj Freddy Fresh,Si Antes Te Hubiera Conocido (Bachata Version),single,2024-07-10,https://open.spotify.com/track/0ciHKTNV2T6mFEnGVg8vn6,0ciHKTNV2T6mFEnGVg8vn6
Si Antes Te Hubiera Conocido - Bachata Version,Vicky Corbacho,Si Antes Te Hubiera Conocido (Bachata Version),single,2024-07-10,https://open.spotify.com/track/54mj0CKnFbM9kMppap11oG,54mj0CKnFbM9kMppap11oG
La Condena,Manny Cruz,La Condena,single,2024-07-10,https://open.spotify.com/track/1bRFKHKiHOgICTRQppP1ub,1bRFKHKiHOgICTRQppP1ub
THE CHEMICAL,Nandy Versátil,HOY SE BAILA,album,2024-07-10,https://open.spotify.com/track/1Ak4nNu3jrXU4Q03YRXZOh,1Ak4nNu3jrXU4Q03YRXZOh
LA NAVE,Nandy Versátil,HOY SE BAILA,album,2024-07-10,https://open.spotify.com/track/0OZF1ymMM5vTW2ACxi8dAl,0OZF1ymMM5vTW2ACxi8dAl
COMO EL SOL,Nandy Versátil,HOY SE BAILA,album,2024-07-10,https://open.spotify.com/track/15IfZL34H0GwA8F94oapNf,15IfZL34H0GwA8F94oapNf
SIEMPRE HABLA DE MI,Nandy Versátil,HOY SE BAILA,album,2024-07-10,https://open.spotify.com/track/6EtGeuPKpy9T2Wnq1y2iO0,6EtGeuPKpy9T2Wnq1y2iO0
La Doctora (Pastillas De Besos),Nandy Versátil,HOY SE BAILA,album,2024-07-10,https://open.spotify.com/track/5sHXM6ZeLUrCur3sEIu4Dp,5sHXM6ZeLUrCur3sEIu4Dp
SI LA VES,Nandy Versátil,HOY SE BAILA,album,2024-07-10,https://open.spotify.com/track/2Atlf1MJtAqNkVSXHHNG1a,2Atlf1MJtAqNkVSXHHNG1a
Threesome - Drill Remix,Nandy Versátil,HOY SE BAILA,album,2024-07-10,https://open.spotify.com/track/2p3Tqy1ofzgCLXa1ZBf15b,2p3Tqy1ofzgCLXa1ZBf15b
Welcome To New York City,Esme,Sangre Nueva (Freshmen Year),album,2024-07-09,https://open.spotify.com/track/7ALKgdulGG0Xlxeczggijw,7ALKgdulGG0Xlxeczggijw
No Te Quiero Ver,Esme,Sangre Nueva (Freshmen Year),album,2024-07-09,https://open.spotify.com/track/1g4PJVEtESkvNo2zFWNj1x,1g4PJVEtESkvNo2zFWNj1x
Dos Locos,Esme,Sangre Nueva (Freshmen Year),album,2024-07-09,https://open.spotify.com/track/4oqGe2ZaEM0BC4OWnb63Xn,4oqGe2ZaEM0BC4OWnb63Xn
Bachata En Las Venas,Esme,Sangre Nueva (Freshmen Year),album,2024-07-09,https://open.spotify.com/track/73xOg6WHnYUWmqU87pWblc,73xOg6WHnYUWmqU87pWblc
No Digas,Esme,Sangre Nueva (Freshmen Year),album,2024-07-09,https://open.spotify.com/track/589RIqcM3xveLOvmObXnqZ,589RIqcM3xveLOvmObXnqZ
La Diabla,Esme,Sangre Nueva (Freshmen Year),album,2024-07-09,https://open.spotify.com/track/3NVR01odTsIVDolw7KVpoD,3NVR01odTsIVDolw7KVpoD
Vida o Muerte,Esme,Sangre Nueva (Freshmen Year),album,2024-07-09,https://open.spotify.com/track/7zBtYIv5iYMU9o2YOCn2sk,7zBtYIv5iYMU9o2YOCn2sk
Loco por ti,Esme,Sangre Nueva (Freshmen Year),album,2024-07-09,https://open.spotify.com/track/7kIN8BSQEzwwOYYfA51F8Q,7kIN8BSQEzwwOYYfA51F8Q
