song,artist,album,album_type,release_date,url,id
Papá,Andrw John,Papá,single,2024-07-01,https://open.spotify.com/track/3iJilM2SAZDu6WJzmre0H9,3iJilM2SAZDu6WJzmre0H9
Intro.,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/6tM8A9fH46NDC5Co2goox9,6tM8A9fH46NDC5Co2goox9
Volver A Nacer,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/0XjZfiuUt3J1HWUWIaMYsi,0XjZfiuUt3J1HWUWIaMYsi
Un Minuto Mas,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/6HjnBhZLwwz0J484B4eQgs,6HjnBhZLwwz0J484B4eQgs
Tu Juego,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/0An1jpSVuJqiE3jYF5JQxZ,0An1jpSVuJqiE3jYF5JQxZ
Mentira,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/4w3UYrsHJuwBgjSOPwujdc,4w3UYrsHJuwBgjSOPwujdc
R.I.P Bachata,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/7gXj0kOOr964E1XMdKciIJ,7gXj0kOOr964E1XMdKciIJ
Me Consta,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/0f3NB5aYIWFitQOxZUBxCq,0f3NB5aYIWFitQOxZUBxCq
Summer Love,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/51NyP9ih9Ua6B28uidl0Eb,51NyP9ih9Ua6B28uidl0Eb
Fatal,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/5CN3voeM9lspQy4izvi9zD,5CN3voeM9lspQy4izvi9zD
Elina,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/1w8SarqKTFVzHkixlQQkL6,1w8SarqKTFVzHkixlQQkL6
Historia,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/4B5898zrWMHMcn5KBgzndl,4B5898zrWMHMcn5KBgzndl
Envidia,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/1m3rdhVfjJOYuCnuT9ijLf,1m3rdhVfjJOYuCnuT9ijLf
Arrepentida,Circharles,Nostalgia,album,2024-07-03,https://open.spotify.com/track/4BH6qCFZ0q6C081ObM2FcP,4BH6qCFZ0q6C081ObM2FcP
Tu,Circharles,Esencia,single,2024-07-03,https://open.spotify.com/track/1oCi8KI8M7NLAJp9t5rQbu,1oCi8KI8M7NLAJp9t5rQbu
No te merecia,Circharles,Esencia,single,2024-07-03,https://open.spotify.com/track/7mO7ZniBGC2it6lSf8gvw7,7mO7ZniBGC2it6lSf8gvw7
Vuelve,Circharles,Esencia,single,2024-07-03,https://open.spotify.com/track/2wnwmhlt1SfIWrLDOwme7u,2wnwmhlt1SfIWrLDOwme7u
Orgullo,Circharles,Esencia,single,2024-07-03,https://open.spotify.com/track/6hfgLYef02eUX3b0oiUd2e,6hfgLYef02eUX3b0oiUd2e
Como Olvidar,Circharles,Esencia,single,2024-07-03,https://open.spotify.com/track/3ZLOafPczJ9m08hnJtLO3Z,3ZLOafPczJ9m08hnJtLO3Z
Le Gustan Malos,Circharles,Esencia,single,2024-07-03,https://open.spotify.com/track/6oxxYOUQcMnwIAE0SKwn8a,6oxxYOUQcMnwIAE0SKwn8a
Sexting,Dani J,Sexting,single,2024-07-03,https://open.spotify.com/track/460OwOR866CTnaRU1BFU05,460OwOR866CTnaRU1BFU05
Snooze - Bachata Version Slowed Down,J Salez,Snooze (Bachata Version Slowed Down),single,2024-07-03,https://open.spotify.com/track/5d198Hay5YddoTkayYJLwo,5d198Hay5YddoTkayYJLwo
