title,artist,album,album_type,release_date,url,id
Realise Knowledge,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/2DkP5ey593cHhaf4RrPIRD,2DkP5ey593cHhaf4RrPIRD
Quíteme La Inocencia,Henry Santos,2.5,album,2024-10-11,https://open.spotify.com/track/4xgGoNU3Zm3EC6XQ8DpoCa,4xgGoNU3Zm3EC6XQ8DpoCa
Presumida - Bachata,Eddy Herrera,El Galan Del Merengue,album,2024-10-11,https://open.spotify.com/track/6krhSHaYgbQQhVMweO3pjY,6krhSHaYgbQQhVMweO3pjY
Places Beneath,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/3fghrSqumQHcgDcEDUDLyc,3fghrSqumQHcgDcEDUDLyc
Peace Ride,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/2Yy8b931uLVeKoc8HIeZY2,2Yy8b931uLVeKoc8HIeZY2
Parece Un Mal Sueño,Henry Santos,2.5,album,2024-10-11,https://open.spotify.com/track/2DOdrQ3qLKNwtU0GGMi8Fg,2DOdrQ3qLKNwtU0GGMi8Fg
Para Siempre,Eddy Herrera,El Galan Del Merengue,album,2024-10-11,https://open.spotify.com/track/5ytjk09MJOZq1LNYr9oKGJ,5ytjk09MJOZq1LNYr9oKGJ
Original Mystery,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/0f5RppOdBSr2qyZ3hdaRkQ,0f5RppOdBSr2qyZ3hdaRkQ
No Te Encuentro (Ft. Alexandra The Queen),Henry Santos,2.5,album,2024-10-11,https://open.spotify.com/track/6aITzI4rJu9VXi6TsjOFUQ,6aITzI4rJu9VXi6TsjOFUQ
No Soy Nada Sin Ti (Ft. Frank Reyes),Henry Santos,2.5,album,2024-10-11,https://open.spotify.com/track/1jtjKrs77wdQ3qAbrJ3J5c,1jtjKrs77wdQ3qAbrJ3J5c
Necesitaba Decirlo,Henry Santos,2.5,album,2024-10-11,https://open.spotify.com/track/7o18EIepcKbTFUU23Rwjvp,7o18EIepcKbTFUU23Rwjvp
Mujeres,Eddy Herrera,El Galan Del Merengue,album,2024-10-11,https://open.spotify.com/track/6eJ5FvnygtBJETOXsAr1Rt,6eJ5FvnygtBJETOXsAr1Rt
Mission Painting,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/1gZZNyvZRfNkiOqEfxSXRe,1gZZNyvZRfNkiOqEfxSXRe
Memorize Nightlife,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/48nEucHjFvCwVter9zPzIX,48nEucHjFvCwVter9zPzIX
Me Enamore,Eddy Herrera,El Galan Del Merengue,album,2024-10-11,https://open.spotify.com/track/2jiCwyIzlmpBFNEqY0jYF5,2jiCwyIzlmpBFNEqY0jYF5
Me Dejó,Henry Santos,2.5,album,2024-10-11,https://open.spotify.com/track/2r2g2mpAK2ie5CHQ4fdYjb,2r2g2mpAK2ie5CHQ4fdYjb
La Excepción (Ft. Kiko Rodriguez),Henry Santos,2.5,album,2024-10-11,https://open.spotify.com/track/2lTDkXTFV0gVv6qVN7QJTS,2lTDkXTFV0gVv6qVN7QJTS
La Excepción,Henry Santos,2.5,album,2024-10-11,https://open.spotify.com/track/7gaBvODoQcREWgJLhAfUce,7gaBvODoQcREWgJLhAfUce
La Bailadora,Eddy Herrera,El Galan Del Merengue,album,2024-10-11,https://open.spotify.com/track/6IaR7LngNqyYIJc0a1VxjM,6IaR7LngNqyYIJc0a1VxjM
Electricity Orbits,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/2xtMylqgt0KnKEL4ntouvF,2xtMylqgt0KnKEL4ntouvF
El No Sabe De Amor,Eddy Herrera,El Galan Del Merengue,album,2024-10-11,https://open.spotify.com/track/5CL3yQ1IPtQaZ7xf8VnmxJ,5CL3yQ1IPtQaZ7xf8VnmxJ
Drill Head,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/7gTTLSM2Nq9aYfqysHttzV,7gTTLSM2Nq9aYfqysHttzV
Dominicano (Ft. Urbanda),Henry Santos,2.5,album,2024-10-11,https://open.spotify.com/track/5tnIgfAAvoIRDvfK5SKgG9,5tnIgfAAvoIRDvfK5SKgG9
